"10467: Fødte, etter statistikkvariabel, fornavn og år"

"statistikkvariabel";"fornavn";"1950";"1955";"1960";"1965";"1970";"1975";"1980";"1985";"1990";"1995";"2000";"2005";"2010";"2015";"2020"
"Andel av fødte (prosent)";"Christina";0.016;0.016;0.024;0.079;0.126;0.245;0.300;0.293;0.538;0.386;0.183;0.171;0.097;0.053;0.034
"Andel av fødte (prosent)";"Christine";0.020;0.028;0.054;0.134;0.237;0.284;0.397;0.566;0.528;0.348;0.269;0.114;0.106;0.036;0.015
"Andel av fødte (prosent)";"Cicilie";.;.;.;.;0.016;0.037;0.029;0.028;0.023;.;.;.;.;.;.
"Andel av fødte (prosent)";"Cindy";.;.;.;.;.;0.011;0.020;0.031;0.018;0.023;.;0.019;.;.;.
"Andel av fødte (prosent)";"Clara";.;.;.;.;.;0.011;0.020;.;0.010;0.037;0.024;0.051;0.073;0.069;0.141
"Andel av fødte (prosent)";"Claudia";.;0.012;0.012;0.027;0.045;0.056;0.071;0.045;0.015;0.046;0.018;0.019;0.012;0.016;.
"Andel av fødte (prosent)";"Connie";.;0.016;0.039;0.057;0.050;0.048;0.037;0.056;0.059;0.029;.;.;.;.;.
"Andel av fødte (prosent)";"Cornelia";.;0.012;0.018;0.016;0.013;0.025;.;.;0.031;0.037;0.064;0.104;0.191;0.184;0.160
"Andel av fødte (prosent)";"Cristina";.;.;0.012;0.011;0.024;0.020;0.023;0.050;0.031;0.029;0.018;.;.;.;.
"Andel av fødte (prosent)";"Dagmar";0.023;0.037;0.024;0.014;0.011;0.011;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Dagny";0.119;0.081;0.054;0.025;0.034;0.025;.;0.011;.;0.012;0.028;.;0.015;0.016;0.061
"Andel av fødte (prosent)";"Dagrun";0.072;0.062;0.024;0.025;.;0.011;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Daiva";.;.;.;0.016;0.032;0.028;0.020;0.031;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Dalia";.;.;.;0.014;0.018;0.017;0.020;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Dana";.;.;.;.;0.013;0.011;0.014;0.028;0.018;.;0.012;0.013;0.018;0.016;.
"Andel av fødte (prosent)";"Daniela";.;.;.;0.014;0.034;0.045;0.040;0.050;0.031;0.032;0.028;0.035;0.012;0.036;0.015
