"10467: Fødte, etter statistikkvariabel, fornavn og år"

"statistikkvariabel";"fornavn";"1950";"1955";"1960";"1965";"1970";"1975";"1980";"1985";"1990";"1995";"2000";"2005";"2010";"2015";"2020"
"Andel av fødte (prosent)";"Maj";0.046;0.072;0.027;0.035;0.026;0.020;0.011;0.011;0.026;.;.;.;.;.;.
"Andel av fødte (prosent)";"Maja";.;.;0.015;.;0.021;0.045;0.126;0.145;0.195;0.210;0.480;0.652;0.783;0.639;0.784
"Andel av fødte (prosent)";"Malak";.;.;.;.;.;.;.;.;.;0.012;.;0.019;0.033;0.023;0.019
"Andel av fødte (prosent)";"Malena";.;.;.;.;.;.;.;.;.;0.020;0.015;0.047;0.018;0.033;0.023
"Andel av fødte (prosent)";"Malene";.;.;.;.;.;0.028;0.017;0.036;0.264;0.328;0.342;0.250;0.173;0.125;0.076
"Andel av fødte (prosent)";"Malgorzata";.;0.016;0.039;0.090;0.079;0.084;0.123;0.114;0.056;.;.;.;.;.;.
"Andel av fødte (prosent)";"Mali";.;.;.;.;.;0.017;0.011;0.011;0.026;0.012;0.058;0.057;0.179;0.102;0.050
"Andel av fødte (prosent)";"Malika";.;.;.;0.014;0.011;0.017;.;.;0.010;.;.;.;.;0.016;.
"Andel av fødte (prosent)";"Malin";.;.;.;.;0.074;0.090;0.111;0.390;0.812;1.011;1.265;1.193;0.580;0.435;0.160
"Andel av fødte (prosent)";"Maren";0.026;0.016;0.024;0.011;0.024;0.059;0.205;0.318;0.479;0.778;0.657;0.592;0.361;0.201;0.084
"Andel av fødte (prosent)";"Margaret";0.119;0.134;0.075;0.057;0.040;0.020;0.017;0.014;0.018;.;.;0.013;.;.;0.019
"Andel av fødte (prosent)";"Margareth";0.105;0.106;0.060;0.065;0.045;0.034;.;0.014;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Margarita";0.013;0.016;0.012;0.022;.;.;0.017;0.014;0.031;.;.;.;.;0.016;.
"Andel av fødte (prosent)";"Margit";0.135;0.124;0.075;0.057;0.026;0.034;0.029;0.028;0.010;0.035;0.034;0.038;0.030;0.040;0.015
"Andel av fødte (prosent)";"Margot";0.076;0.056;0.027;0.011;.;.;0.011;.;.;.;.;.;.;.;0.023
"Andel av fødte (prosent)";"Margrete";0.069;0.072;0.039;0.044;0.026;0.042;0.060;0.042;0.046;0.063;0.049;0.032;0.018;0.016;.
"Andel av fødte (prosent)";"Margrethe";0.129;0.093;0.087;0.095;0.105;0.107;0.108;0.103;0.108;0.115;0.049;0.092;0.067;0.049;0.030
"Andel av fødte (prosent)";"Margun";0.049;0.059;0.033;0.022;.;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Margunn";0.056;0.062;0.084;0.035;0.034;0.020;0.020;0.020;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Mari";0.188;0.140;0.211;0.166;0.192;0.259;0.485;0.778;0.740;0.645;0.623;0.611;0.519;0.392;0.369
"Andel av fødte (prosent)";"Mari-Ann";0.016;0.019;0.054;0.046;0.011;0.023;0.011;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Maria";0.208;0.233;0.311;0.371;0.395;0.633;1.187;1.240;1.263;1.322;1.360;1.209;0.807;0.619;0.472
"Andel av fødte (prosent)";"Mariam";.;.;0.012;0.014;0.024;0.020;0.043;0.056;0.054;0.066;0.055;0.070;0.079;0.092;0.046
"Andel av fødte (prosent)";"Marian";0.013;0.022;0.054;0.044;0.045;0.039;0.043;0.022;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Mariana";.;0.012;.;.;0.024;0.020;0.026;0.020;0.020;.;.;.;.;.;.
"Andel av fødte (prosent)";"Mariann";0.059;0.115;0.202;0.218;0.285;0.166;0.237;0.176;0.113;0.072;0.034;0.016;0.015;.;.
"Andel av fødte (prosent)";"Marianne";0.422;0.631;1.207;1.458;1.502;1.249;1.316;0.936;0.612;0.354;0.208;0.073;0.018;0.020;.
"Andel av fødte (prosent)";"Marie";0.244;0.184;0.181;0.158;0.124;0.186;0.365;0.521;0.661;0.947;0.902;0.763;0.716;0.655;0.503
"Andel av fødte (prosent)";"Mariel";.;.;.;.;.;.;.;0.014;0.036;0.023;0.040;0.019;0.015;0.013;.
"Andel av fødte (prosent)";"Mariell";.;.;.;.;.;.;0.014;0.042;0.115;0.144;0.134;0.108;0.137;0.063;0.038
"Andel av fødte (prosent)";"Marielle";.;.;.;0.011;.;0.014;.;0.053;0.095;0.089;0.073;0.057;0.100;0.040;0.023
"Andel av fødte (prosent)";"Marija";.;.;.;0.014;.;.;0.054;0.047;0.026;0.029;0.012;0.019;0.021;.;.
"Andel av fødte (prosent)";"Marina";.;0.031;0.112;0.087;0.058;0.076;0.083;0.089;0.085;0.035;0.061;0.066;0.039;0.036;0.030
"Andel av fødte (prosent)";"Marion";0.099;0.109;0.100;0.054;0.029;0.053;0.066;0.095;0.077;0.069;0.055;0.070;0.079;0.079;0.061
"Andel av fødte (prosent)";"Marit";2.636;2.115;1.847;1.482;0.943;0.596;0.602;0.563;0.307;0.242;0.186;0.104;0.073;0.059;0.046
"Andel av fødte (prosent)";"Marita";0.013;0.040;0.066;0.084;0.129;0.335;0.340;0.410;0.577;0.377;0.144;0.079;0.036;0.020;.
"Andel av fødte (prosent)";"Marlen";.;.;.;.;0.013;0.017;0.023;0.045;0.079;0.052;0.024;0.016;0.018;0.016;.
"Andel av fødte (prosent)";"Marlene";.;.;.;.;.;0.011;0.026;0.050;0.143;0.158;0.079;0.035;0.061;0.030;.
"Andel av fødte (prosent)";"Marry";0.030;0.016;.;.;.;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Marta";0.105;0.047;0.063;0.057;0.032;0.104;0.134;0.215;0.167;0.089;0.067;0.041;0.088;0.053;0.095
"Andel av fødte (prosent)";"Marte";.;0.025;0.027;0.033;0.063;0.259;0.491;0.524;0.974;0.945;0.730;0.380;0.167;0.092;0.072
"Andel av fødte (prosent)";"Martha";0.099;0.065;0.057;0.038;0.032;0.045;0.046;0.033;0.072;0.075;0.064;0.082;0.064;0.036;0.076
"Andel av fødte (prosent)";"Marthe";0.026;.;0.036;0.033;0.040;0.155;0.280;0.354;0.666;0.602;0.492;0.298;0.106;0.033;0.038
"Andel av fødte (prosent)";"Marthine";.;.;.;.;.;.;.;.;0.015;0.040;0.028;0.032;0.024;0.016;.
"Andel av fødte (prosent)";"Martina";.;.;0.015;0.025;0.011;0.014;0.043;0.033;0.049;0.026;0.018;0.019;0.033;0.020;.
"Andel av fødte (prosent)";"Martine";.;.;.;.;0.011;0.028;0.086;0.223;0.671;1.043;0.923;0.627;0.653;0.379;0.232
"Andel av fødte (prosent)";"Martyna";.;.;.;.;.;.;.;0.025;0.031;0.026;0.012;0.041;0.018;0.020;0.015
"Andel av fødte (prosent)";"Marwa";.;.;.;.;.;.;.;0.014;0.031;0.014;0.028;0.025;0.027;0.030;0.038
"Andel av fødte (prosent)";"Mary";0.290;0.193;0.136;0.120;0.066;0.082;0.091;0.089;0.079;0.043;0.040;0.038;0.030;0.036;0.023
"Andel av fødte (prosent)";"Mary-Ann";.;0.028;0.024;0.014;0.034;.;.;0.011;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Maryam";.;.;0.015;0.014;0.029;0.042;0.054;0.064;0.049;0.058;0.028;0.057;0.082;0.086;0.072
"Andel av fødte (prosent)";"Maryan";.;.;.;0.027;0.013;0.017;0.020;0.036;0.020;0.014;0.012;0.019;0.012;0.013;.
"Andel av fødte (prosent)";"Marzena";.;.;.;0.011;0.034;0.045;0.026;0.047;0.013;.;.;.;.;.;.
"Andel av fødte (prosent)";"Mathea";.;.;.;.;.;.;.;.;.;0.043;0.156;0.529;0.480;0.375;0.267
"Andel av fødte (prosent)";"Mathilda";.;.;.;.;.;.;.;.;.;.;0.012;0.016;0.055;0.026;0.027
"Andel av fødte (prosent)";"Mathilde";.;.;.;.;.;.;0.014;0.025;0.177;0.348;0.678;0.690;0.683;0.576;0.510
"Andel av fødte (prosent)";"Matilda";.;.;.;.;.;.;.;.;.;.;0.015;0.019;0.079;0.105;0.076
"Andel av fødte (prosent)";"Matilde";.;.;.;.;.;.;.;0.011;0.018;0.055;0.196;0.142;0.243;0.194;0.141
"Andel av fødte (prosent)";"Maud";0.020;.;0.015;0.025;.;.;.;0.017;0.018;0.029;0.028;0.013;0.030;0.033;0.088
"Andel av fødte (prosent)";"May";0.587;0.890;0.878;0.648;0.524;0.397;0.357;0.142;0.164;0.101;0.076;0.070;0.033;0.023;0.015
"Andel av fødte (prosent)";"May-Britt";0.072;0.140;0.157;0.117;0.090;0.062;0.051;0.014;0.015;.;.;.;.;.;.
"Andel av fødte (prosent)";"May-Liss";0.016;0.022;0.024;0.027;0.029;0.023;.;0.022;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Maya";.;.;.;0.014;0.016;0.011;0.020;0.025;0.044;0.035;0.107;0.247;0.264;0.227;0.209
"Andel av fødte (prosent)";"Maylen";.;.;.;.;.;0.014;0.014;0.020;0.028;0.012;0.015;.;.;.;.
"Andel av fødte (prosent)";"Medina";.;.;.;.;.;.;.;.;.;.;.;0.016;0.036;0.026;0.038
"Andel av fødte (prosent)";"Melanie";.;.;.;.;0.013;.;0.031;0.031;0.020;0.017;0.018;.;0.012;0.020;0.015
"Andel av fødte (prosent)";"Melina";.;.;.;.;.;.;0.011;0.022;0.018;0.026;0.012;0.044;0.055;0.128;0.088
"Andel av fødte (prosent)";"Melinda";.;.;.;.;0.011;0.017;0.011;.;0.010;0.014;.;0.013;0.021;0.013;.
"Andel av fødte (prosent)";"Melissa";.;.;.;.;.;0.011;0.034;0.050;0.067;0.101;0.086;0.085;0.106;0.105;0.107
"Andel av fødte (prosent)";"Merete";0.069;0.165;0.311;0.646;0.577;0.430;0.271;0.170;0.100;0.069;0.028;0.019;.;.;.
"Andel av fødte (prosent)";"Merethe";0.016;0.028;0.084;0.210;0.269;0.236;0.185;0.131;0.059;0.043;0.024;.;.;.;.
"Andel av fødte (prosent)";"Mette";0.382;0.638;0.842;1.275;0.754;0.487;0.351;0.229;0.225;0.109;0.076;0.022;0.012;.;.
"Andel av fødte (prosent)";"Mia";.;.;0.021;0.011;0.032;0.048;0.066;0.156;0.320;0.311;0.685;0.902;0.838;0.826;0.788
"Andel av fødte (prosent)";"Michaela";.;.;.;.;.;.;0.023;0.014;0.013;0.012;.;.;0.015;.;.
"Andel av fødte (prosent)";"Michelle";.;.;.;.;0.032;0.020;0.046;0.081;0.179;0.179;0.223;0.209;0.170;0.148;0.076
"Andel av fødte (prosent)";"Mie";.;.;.;.;.;.;.;0.025;0.013;0.035;0.061;0.114;0.349;0.342;0.381
"Andel av fødte (prosent)";"Mila";.;.;.;.;.;.;.;.;.;.;.;.;0.027;0.099;0.179
"Andel av fødte (prosent)";"Mildrid";0.079;0.044;0.039;0.011;0.013;.;.;.;0.010;.;.;.;.;.;.
"Andel av fødte (prosent)";"Milena";.;.;.;.;.;0.034;0.037;0.039;0.044;0.026;0.024;0.022;0.030;0.040;0.034
"Andel av fødte (prosent)";"Milla";.;.;.;.;.;.;.;.;.;.;0.037;0.139;0.291;0.247;0.099
"Andel av fødte (prosent)";"Mille";.;.;.;.;.;.;.;.;.;0.023;0.095;0.260;0.443;0.392;0.366
"Andel av fødte (prosent)";"Mina";.;.;.;0.030;0.018;0.028;0.037;0.061;0.110;0.262;0.376;0.605;0.425;0.398;0.324
"Andel av fødte (prosent)";"Mira";.;.;.;.;.;.;0.011;0.020;0.033;0.026;0.018;0.089;0.097;0.158;0.175
"Andel av fødte (prosent)";"Miranda";.;.;.;.;.;.;.;0.014;0.015;0.023;0.021;0.028;0.012;0.013;.
"Andel av fødte (prosent)";"Miriam";0.026;.;0.027;0.041;0.037;0.079;0.088;0.181;0.269;0.268;0.238;0.203;0.176;0.158;0.110
"Andel av fødte (prosent)";"Mirjam";.;.;0.030;.;0.018;0.056;0.046;0.042;0.013;0.026;0.021;0.013;.;.;.
"Andel av fødte (prosent)";"Molly";.;.;.;.;.;.;.;.;.;.;.;.;0.082;0.109;0.065
"Andel av fødte (prosent)";"Mona";0.267;0.740;1.104;1.275;1.278;0.886;0.502;0.337;0.264;0.202;0.110;0.079;0.039;0.033;0.027
"Andel av fødte (prosent)";"Monica";0.046;0.068;0.190;0.624;1.691;1.741;0.967;0.744;0.361;0.190;0.043;0.035;0.015;0.016;.
"Andel av fødte (prosent)";"Monika";0.013;0.044;0.094;0.196;0.356;0.408;0.397;0.268;0.238;0.138;0.034;0.016;0.012;0.013;0.019
"Andel av fødte (prosent)";"Muna";.;.;.;.;.;.;0.011;0.042;0.049;0.023;0.021;0.019;.;0.016;.
"Andel av fødte (prosent)";"My";.;.;.;.;0.024;.;.;0.025;0.013;0.014;0.018;.;0.018;0.013;0.015
"Andel av fødte (prosent)";"Møyfrid";0.030;0.019;0.039;0.022;0.013;0.014;0.017;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Målfrid";0.188;0.124;0.078;0.046;0.037;0.025;0.014;0.011;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Nada";.;0.016;0.018;0.035;.;.;.;0.017;0.020;0.014;0.015;0.022;0.015;.;.
"Andel av fødte (prosent)";"Nadia";.;.;.;0.016;0.018;0.053;0.114;0.064;0.069;0.069;0.070;0.089;0.085;0.072;0.072
"Andel av fødte (prosent)";"Nadine";.;.;.;.;.;0.025;0.023;0.020;0.023;0.014;0.015;.;0.021;0.023;0.027
"Andel av fødte (prosent)";"Nadja";.;0.012;.;.;0.018;.;0.023;0.017;0.028;0.026;0.024;.;0.021;.;.
"Andel av fødte (prosent)";"Naima";.;.;.;.;.;0.011;0.034;0.014;0.013;0.035;0.031;.;0.021;.;.
"Andel av fødte (prosent)";"Najma";.;.;.;0.011;.;.;.;.;.;0.012;0.018;0.022;0.015;.;.
"Andel av fødte (prosent)";"Nancy";0.036;0.031;0.060;0.019;0.092;0.056;0.037;0.025;0.020;0.014;0.015;.;.;.;.
"Andel av fødte (prosent)";"Nanna";.;0.012;0.012;.;0.013;.;0.020;0.017;.;0.023;0.046;0.047;0.039;0.020;0.038
"Andel av fødte (prosent)";"Naomi";.;.;.;.;.;.;0.011;.;0.013;0.014;0.028;0.035;0.079;0.122;0.107
"Andel av fødte (prosent)";"Natalia";0.016;0.028;0.051;0.033;0.082;0.096;0.103;0.201;0.131;0.107;0.101;0.101;0.088;0.079;0.065
"Andel av fødte (prosent)";"Natalie";.;.;.;.;0.013;0.014;0.034;0.042;0.164;0.141;0.144;0.298;0.200;0.151;0.072
"Andel av fødte (prosent)";"Natasha";.;.;.;.;0.013;.;.;.;0.028;0.014;0.024;0.019;0.021;0.013;.
"Andel av fødte (prosent)";"Nathalie";.;.;.;.;0.013;0.017;0.034;0.092;0.097;0.164;0.150;0.231;0.303;0.194;0.099
"Andel av fødte (prosent)";"Nellie";.;.;.;.;.;.;.;.;.;.;.;.;0.024;0.063;0.107
"Andel av fødte (prosent)";"Nelly";0.053;0.053;0.021;0.014;.;.;0.011;0.014;.;.;0.015;0.044;0.067;0.092;0.103
"Andel av fødte (prosent)";"Ngoc";.;.;.;0.016;0.034;0.023;0.026;0.014;0.020;0.012;.;.;.;.;.
"Andel av fødte (prosent)";"Nicole";.;.;.;.;0.032;0.023;0.051;0.039;0.033;0.046;0.043;0.051;0.039;0.026;0.038
"Andel av fødte (prosent)";"Nicoline";.;.;.;.;.;.;.;.;0.026;0.029;0.037;0.016;0.143;0.138;0.107
"Andel av fødte (prosent)";"Nikola";.;.;.;.;.;.;.;.;0.010;.;.;0.066;0.033;0.030;0.027
"Andel av fødte (prosent)";"Nikoline";.;.;.;.;.;.;.;.;.;0.023;0.034;0.038;0.076;0.119;0.198
"Andel av fødte (prosent)";"Nina";0.188;0.501;1.457;1.809;1.739;1.153;0.979;0.828;0.566;0.369;0.226;0.139;0.106;0.082;0.152
"Andel av fødte (prosent)";"Ninni";0.026;.;0.012;0.019;.;.;.;.;.;.;0.012;.;0.018;.;.
"Andel av fødte (prosent)";"Noor";.;.;.;.;.;.;.;0.025;0.020;0.029;0.015;0.038;0.073;0.079;0.099
"Andel av fødte (prosent)";"Nora";0.063;0.072;0.084;0.063;0.040;0.056;0.091;0.070;0.192;0.481;1.186;1.228;1.226;1.409;1.516
"Andel av fødte (prosent)";"Norah";.;.;.;.;.;.;.;.;.;.;.;0.057;0.085;0.079;0.069
"Andel av fødte (prosent)";"Norma";0.030;0.022;0.015;.;.;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Norunn";0.092;0.056;0.051;0.044;0.037;0.017;0.020;.;.;.;.;.;0.021;.;.
"Andel av fødte (prosent)";"Nour";.;.;.;.;.;.;.;0.014;0.010;0.023;0.028;0.038;0.024;0.026;.
"Andel av fødte (prosent)";"Nova";.;.;.;.;.;.;.;.;.;.;.;.;0.027;0.082;0.190
"Andel av fødte (prosent)";"Oda";.;.;.;.;.;.;0.017;0.053;0.400;0.564;0.706;0.627;0.568;0.658;0.606
"Andel av fødte (prosent)";"Oddbjørg";0.181;0.118;0.069;0.054;0.013;0.017;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Oddlaug";0.109;0.053;0.021;.;0.013;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Oddny";0.142;0.140;0.100;0.052;0.042;0.025;0.014;0.011;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Oddrun";0.181;0.137;0.087;0.087;0.058;.;0.029;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Oddveig";0.125;0.140;0.078;0.046;0.024;0.017;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Oksana";.;.;.;.;0.032;0.031;0.046;0.028;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Olaug";0.273;0.211;0.148;0.095;0.082;0.039;0.020;0.033;0.015;.;0.012;.;.;.;.
"Andel av fødte (prosent)";"Olava";.;.;.;.;.;.;.;.;.;.;.;.;0.049;0.092;0.076
"Andel av fødte (prosent)";"Olea";.;.;.;.;.;.;.;.;.;.;0.018;0.028;0.064;0.125;0.126
"Andel av fødte (prosent)";"Olena";.;.;.;.;0.021;0.020;0.057;0.014;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Olga";0.122;0.087;0.103;0.057;0.119;0.141;0.154;0.139;0.074;0.035;0.012;0.013;0.012;0.023;.
"Andel av fødte (prosent)";"Oline";0.013;.;.;.;.;.;.;.;0.010;0.026;0.086;0.149;0.300;0.382;0.480
"Andel av fødte (prosent)";"Olivia";.;.;.;.;.;0.011;0.011;0.022;.;0.037;0.067;0.187;0.555;1.169;1.200
"Andel av fødte (prosent)";"Oliwia";.;.;.;.;.;.;.;.;.;0.012;0.024;0.085;0.055;0.043;0.061
"Andel av fødte (prosent)";"Othelie";.;.;.;.;.;.;.;.;.;.;0.012;0.016;0.015;0.066;0.065
"Andel av fødte (prosent)";"Othilie";.;.;.;.;.;.;.;.;.;0.012;0.024;0.025;0.079;0.135;0.126
"Andel av fødte (prosent)";"Otilie";.;.;.;.;.;.;.;.;.;.;.;0.016;0.027;0.063;0.046
"Andel av fødte (prosent)";"Patricia";0.013;.;0.021;0.016;0.016;0.037;0.034;0.022;0.031;0.026;.;0.022;0.015;0.016;.
"Andel av fødte (prosent)";"Patrycja";.;.;.;.;.;.;0.034;0.042;0.072;0.060;0.024;0.041;0.018;.;.
"Andel av fødte (prosent)";"Paula";0.020;0.028;0.036;0.022;0.026;0.034;0.014;.;0.044;0.043;0.040;0.041;0.036;0.049;0.030
"Andel av fødte (prosent)";"Paulina";.;.;.;.;.;0.014;0.034;0.064;0.146;0.075;0.067;0.038;0.012;0.020;0.019
"Andel av fødte (prosent)";"Pauline";.;.;0.012;.;.;.;0.011;0.017;0.010;0.046;0.046;0.041;0.018;0.033;0.034
"Andel av fødte (prosent)";"Peggy";0.026;0.028;0.039;0.019;0.016;0.020;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Pernille";.;.;.;0.016;0.032;0.048;0.034;0.120;0.243;0.331;0.391;0.405;0.558;0.323;0.301
"Andel av fødte (prosent)";"Petra";0.056;0.028;0.027;0.033;0.018;0.017;0.023;0.025;0.013;.;0.024;0.044;0.058;0.079;0.099
"Andel av fødte (prosent)";"Phuong";.;.;0.012;.;0.021;0.023;0.014;0.017;0.013;.;.;.;.;.;.
"Andel av fødte (prosent)";"Pia";.;0.050;0.060;0.076;0.203;0.214;0.120;0.176;0.213;0.173;0.189;0.275;0.167;0.161;0.179
"Andel av fødte (prosent)";"Rabia";.;.;.;.;0.018;.;0.014;0.022;0.018;.;.;.;.;.;.
"Andel av fødte (prosent)";"Rachel";0.013;.;.;.;0.021;0.045;0.037;0.039;0.041;0.046;0.037;0.028;0.021;0.023;.
"Andel av fødte (prosent)";"Ragna";0.066;0.078;0.048;0.035;0.029;.;0.014;0.020;0.018;0.058;0.046;0.041;0.042;0.030;0.053
"Andel av fødte (prosent)";"Ragne";0.013;.;0.012;.;.;.;0.011;0.014;0.010;.;0.012;0.022;.;.;.
"Andel av fødte (prosent)";"Ragnhild";0.919;0.712;0.510;0.392;0.258;0.312;0.457;0.348;0.256;0.331;0.217;0.114;0.088;0.086;0.076
"Andel av fødte (prosent)";"Ragni";0.016;.;0.012;0.014;.;.;.;0.011;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Rahel";.;.;.;.;.;0.011;0.011;0.011;0.026;0.035;.;.;.;.;.
"Andel av fødte (prosent)";"Rahma";.;.;.;.;.;.;0.017;0.025;0.010;0.012;0.024;0.016;0.015;0.013;.
"Andel av fødte (prosent)";"Rakel";0.026;0.019;.;0.014;0.029;0.048;0.034;0.047;0.044;0.060;0.110;0.095;0.103;0.145;0.099
"Andel av fødte (prosent)";"Ramona";.;.;.;0.014;.;.;0.034;0.036;0.046;0.023;0.021;.;0.015;0.016;.
"Andel av fødte (prosent)";"Rana";.;.;.;.;.;.;0.011;0.014;0.010;.;.;0.022;0.012;.;.
"Andel av fødte (prosent)";"Randi";1.661;1.508;1.065;0.763;0.527;0.377;0.314;0.134;0.102;0.075;0.040;0.013;0.030;0.020;.
"Andel av fødte (prosent)";"Rania";.;.;.;.;.;0.011;0.020;.;.;.;0.024;0.019;.;0.033;0.027
"Andel av fødte (prosent)";"Rannveig";0.086;0.062;0.030;0.027;0.040;0.056;0.077;0.031;0.023;0.014;0.015;.;.;.;.
"Andel av fødte (prosent)";"Ranveig";0.142;0.103;0.069;0.038;0.050;0.051;0.034;0.045;0.015;0.017;.;.;.;.;.
"Andel av fødte (prosent)";"Rasa";.;.;.;.;0.024;0.025;0.060;0.056;0.026;.;.;.;.;.;.
"Andel av fødte (prosent)";"Rebecca";.;0.012;.;0.016;0.018;0.025;0.080;0.109;0.187;0.331;0.290;0.174;0.103;0.076;0.019
"Andel av fødte (prosent)";"Rebecka";.;.;.;.;.;.;.;0.011;0.023;0.055;0.046;0.032;0.015;.;.
"Andel av fødte (prosent)";"Rebekka";.;.;.;.;0.013;0.028;0.043;0.039;0.126;0.360;0.275;0.184;0.091;0.112;0.065
"Andel av fødte (prosent)";"Regina";.;0.022;0.027;0.011;0.029;0.020;0.034;0.011;0.015;0.023;.;0.022;.;.;.
"Andel av fødte (prosent)";"Regine";.;.;.;0.014;.;0.020;0.017;0.025;0.051;0.104;0.159;0.076;0.036;0.023;0.027
"Andel av fødte (prosent)";"Reidun";1.130;0.868;0.498;0.349;0.190;0.096;0.060;0.039;0.028;0.026;0.015;.;.;0.013;.
"Andel av fødte (prosent)";"Reidunn";0.066;0.044;0.030;0.016;0.011;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Renata";.;.;.;0.049;0.047;0.079;0.088;0.064;0.026;.;0.012;.;.;.;.
"Andel av fødte (prosent)";"Renate";0.013;0.012;0.021;0.044;0.108;0.352;0.445;0.407;0.328;0.259;0.159;0.035;0.015;.;.
"Andel av fødte (prosent)";"Renathe";.;.;.;.;.;0.037;0.029;0.039;0.020;0.023;.;.;.;.;.
"Andel av fødte (prosent)";"Renee";.;.;0.012;0.014;0.026;0.020;0.014;0.033;0.023;.;.;.;.;.;.
"Andel av fødte (prosent)";"Rigmor";0.458;0.376;0.205;0.153;0.100;0.048;0.031;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Rikke";.;0.019;0.030;0.016;0.040;0.068;0.060;0.117;0.187;0.328;0.281;0.171;0.206;0.115;0.152
"Andel av fødte (prosent)";"Rina";.;.;.;0.022;0.011;0.025;0.017;0.017;0.020;0.017;0.021;.;.;0.013;0.015
"Andel av fødte (prosent)";"Rita";0.343;0.613;0.591;0.605;0.448;0.430;0.211;0.164;0.077;0.060;0.021;0.028;0.012;0.023;0.015
"Andel av fødte (prosent)";"Ronja";.;.;.;.;.;.;.;0.033;0.087;0.127;0.238;0.250;0.316;0.286;0.267
"Andel av fødte (prosent)";"Rosa";0.020;0.022;0.015;0.016;0.013;0.020;0.017;0.014;0.010;.;.;.;.;.;0.019
"Andel av fødte (prosent)";"Rose";0.013;0.031;0.018;0.025;0.024;0.011;0.017;0.022;0.015;0.014;0.021;0.019;0.024;0.026;0.015
"Andel av fødte (prosent)";"Runa";0.016;0.037;0.066;0.052;0.034;0.031;0.040;0.022;0.054;0.078;0.061;0.076;0.052;0.086;0.061
"Andel av fødte (prosent)";"Rut";0.013;0.012;0.012;0.014;0.029;0.014;0.017;.;0.010;.;.;.;.;0.016;.
"Andel av fødte (prosent)";"Ruta";.;.;.;.;0.011;0.037;0.026;0.047;0.049;0.026;.;.;.;.;.
"Andel av fødte (prosent)";"Ruth";0.471;0.373;0.290;0.226;0.153;0.079;0.120;0.089;0.054;0.063;0.055;0.079;0.079;0.049;0.061
"Andel av fødte (prosent)";"Rønnaug";0.040;0.053;0.063;0.035;0.016;0.028;.;0.017;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Saba";.;.;.;.;0.024;.;0.017;0.022;0.020;0.020;0.015;.;.;.;.
"Andel av fødte (prosent)";"Sabina";.;.;.;.;.;0.014;0.023;0.017;0.044;0.026;0.018;0.019;0.012;.;.
"Andel av fødte (prosent)";"Sabine";.;.;0.015;0.027;0.021;0.028;.;0.025;.;0.017;0.012;.;.;.;.
"Andel av fødte (prosent)";"Sabrina";.;.;.;.;0.013;.;0.037;0.033;0.046;0.029;0.037;0.041;0.042;0.049;0.034
"Andel av fødte (prosent)";"Sadia";.;.;.;.;.;.;0.040;0.039;0.028;0.017;.;.;.;.;.
"Andel av fødte (prosent)";"Safia";.;.;.;0.011;.;.;0.014;0.014;.;0.012;.;.;0.012;0.026;.
"Andel av fødte (prosent)";"Saga";.;.;.;.;.;.;.;.;.;.;0.012;0.051;0.094;0.267;0.503
"Andel av fødte (prosent)";"Sahar";.;.;.;.;.;.;0.011;0.017;.;0.017;0.015;0.028;0.027;.;.
"Andel av fødte (prosent)";"Sahra";.;.;0.012;0.025;0.024;0.031;0.029;0.020;0.013;0.026;0.028;0.019;0.018;0.020;.
"Andel av fødte (prosent)";"Saima";.;.;.;.;.;0.020;0.043;0.025;0.015;.;.;.;.;.;.
"Andel av fødte (prosent)";"Salma";.;.;.;.;.;0.014;0.017;0.020;0.020;0.020;0.024;0.044;0.079;0.066;0.034
"Andel av fødte (prosent)";"Samantha";.;.;.;.;.;.;.;0.028;0.023;0.020;0.015;0.038;0.018;0.053;0.042
"Andel av fødte (prosent)";"Samira";.;.;0.012;0.022;0.021;0.034;0.034;0.039;0.031;0.046;0.031;0.041;0.024;0.020;0.023
"Andel av fødte (prosent)";"Sana";.;.;.;.;.;0.011;.;0.031;0.020;0.032;0.018;0.022;0.024;0.030;.
